month,source,unit,price_usd_kg
2019-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.548951
2019-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.599657
2019-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.628317
2019-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.738549
2020-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.767209
2020-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.798073
2020-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.817915
2020-04-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.811301
2020-05-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.760595
2020-06-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.895077
2020-07-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.073651
2020-08-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.749572
2020-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.645954
2020-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.641545
2020-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.652568
2020-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.683433
2021-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.652568
2021-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.742958
2021-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.672410
2021-04-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.696661
2021-05-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.906100
2021-06-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.884054
2021-07-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.879644
2021-08-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.806892
2021-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.833347
2021-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.945783
2021-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.811301
2021-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.919328
2022-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.952397
2022-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.965625
2022-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.082470
2022-04-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.104516
2022-05-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.135381
2022-06-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.053810
2022-07-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.009717
2022-08-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.007513
2022-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.892872
2022-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.921532
2022-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.901691
2022-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.903895
2023-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.901691
2023-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.879644
2023-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.886258
2023-04-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.846575
2023-05-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.932555
2023-06-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.868621
2023-07-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.844370
2023-08-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.831143
2023-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.862007
2023-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.930351
2023-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.914918
2023-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.941374
2024-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.919328
2024-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.925942
2024-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.932555
2024-04-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.998694
2024-05-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.091288
2024-06-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.890668
2024-07-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.892872
2024-08-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),1.000899
2024-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.846575
2024-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.842166
2024-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.822324
2024-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.837757
2025-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.853189
2025-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.798073
2025-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.738549
2025-04-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.749572
2025-05-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.705479
2025-06-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.736344
2025-07-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.698865
2025-08-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.705479
2025-09-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.619499
2025-10-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.639341
2025-11-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.793664
2025-12-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.712093
2026-01-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.687842
2026-02-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.659182
2026-03-01,USDA NASS Dry Edible Beans (excl chickpeas) Price Received,USD/Kg (converted from $/CWT),0.610680
